oracion,type1,glosa1,start_time1,end_time1,type2,start_time2,end_time2,tt1_duration,tt1_frames,type3,glosa2,start_time3,end_time3,type4,start_time4,end_time4,tt2_duration,tt2_frames,type5,glosa3,start_time5,end_time5
ABRIR_ORACION_1.eaf,gloss,YO_1,0.634,0.958,transition,0.958,0.958,0.0,0,gloss,CAMINAR-PERSONA_1,0.958,1.844,transition,1.844,1.844,0.0,0,gloss,ABRIR_1,1.844,2.76
ABRIR_ORACION_1.eaf,gloss,CAMINAR-PERSONA_1,0.958,1.844,transition,1.844,1.844,0.0,0,gloss,ABRIR_1,1.844,2.76,transition,2.76,2.76,0.0,0,gloss,REFRESCAR_1,2.76,4.628
ABRIR_ORACION_2.eaf,gloss,YO_1,1.89,2.226,transition,2.226,2.319,0.09299999999999997,3,gloss,ABRIR-VERTICAL_1,2.319,3.073,transition,3.073,3.083,0.010000000000000231,0,gloss,VER_1,3.083,3.419
ABRIR_ORACION_2.eaf,gloss,ABRIR-VERTICAL_1,2.319,3.073,transition,3.073,3.083,0.010000000000000231,0,gloss,VER_1,3.083,3.419,transition,3.419,3.434,0.015000000000000124,0,gloss,AL-FRENTE_1,3.434,3.873
ABRIR_ORACION_2.eaf,gloss,VER_1,3.083,3.419,transition,3.419,3.434,0.015000000000000124,0,gloss,AL-FRENTE_1,3.434,3.873,transition,3.873,3.879,0.005999999999999783,0,gloss,ASOMAR_1,3.879,6.151
ABRIR_ORACION_3.eaf,gloss,DORMIR_1,0.489,1.483,transition,1.483,1.499,0.016000000000000014,0,gloss,CALOR_1,1.499,2.402,transition,2.402,2.402,0.0,0,gloss,CAMINAR-PERSONA_1,2.402,2.805
ABRIR_ORACION_3.eaf,gloss,CALOR_1,1.499,2.402,transition,2.402,2.402,0.0,0,gloss,CAMINAR-PERSONA_1,2.402,2.805,transition,2.805,2.81,0.004999999999999893,0,gloss,ABRIR_1,2.81,4.116
ABRIR_ORACION_3.eaf,gloss,CAMINAR-PERSONA_1,2.402,2.805,transition,2.805,2.81,0.004999999999999893,0,gloss,ABRIR_1,2.81,4.116,transition,4.116,4.122,0.006000000000000227,0,gloss,BIEN_1,4.122,5.143
ABRIR_ORACION_3.eaf,gloss,ABRIR_1,2.81,4.116,transition,4.116,4.122,0.006000000000000227,0,gloss,BIEN_1,4.122,5.143,transition,5.143,5.148,0.004999999999999893,0,gloss,DORMIR_1,5.148,6.169
ABRIR_ORACION_4.eaf,gloss,YO_1,0.736,0.972,transition,0.972,0.994,0.02200000000000002,1,gloss,MEZCLAR_1,0.994,1.735,transition,1.735,1.735,0.0,0,gloss,IX_1,1.735,1.95
ABRIR_ORACION_4.eaf,gloss,MEZCLAR_1,0.994,1.735,transition,1.735,1.735,0.0,0,gloss,IX_1,1.735,1.95,transition,1.95,1.95,0.0,0,gloss,DESENRROSCAR-TAPA_1,1.95,2.541
ABRIR_ORACION_4.eaf,gloss,IX_1,1.735,1.95,transition,1.95,1.95,0.0,0,gloss,DESENRROSCAR-TAPA_1,1.95,2.541,transition,2.541,2.541,0.0,0,gloss,LEVANTAR-TAPA_1,2.541,3.0
ABRIR_ORACION_4.eaf,gloss,DESENRROSCAR-TAPA_1,1.95,2.541,transition,2.541,2.541,0.0,0,gloss,LEVANTAR-TAPA_1,2.541,3.0,transition,3.0,3.04,0.040000000000000036,1,gloss,ECHAR-CUCHARADA_1,3.04,4.201
ABRIR_ORACION_4.eaf,gloss,LEVANTAR-TAPA_1,2.541,3.0,transition,3.0,3.04,0.040000000000000036,1,gloss,ECHAR-CUCHARADA_1,3.04,4.201,transition,4.201,4.201,0.0,0,gloss,ECHAR-CUCHARADA_1,4.201,4.66
ABRIR_ORACION_4.eaf,gloss,ECHAR-CUCHARADA_1,3.04,4.201,transition,4.201,4.201,0.0,0,gloss,ECHAR-CUCHARADA_1,4.201,4.66,transition,4.66,4.664,0.0039999999999995595,0,gloss,ENRROSCAR-TAPA_1,4.664,5.229
ABRIR_ORACION_4.eaf,gloss,ECHAR-CUCHARADA_1,4.201,4.66,transition,4.66,4.664,0.0039999999999995595,0,gloss,ENRROSCAR-TAPA_1,4.664,5.229,transition,5.229,5.229,0.0,0,gloss,MEZCLAR_1,5.229,6.142
ABRIR-CORTINA_ORACION_1.eaf,gloss,YO_1,0.859,1.382,transition,1.382,1.382,0.0,0,gloss,VER_1,1.382,1.845,transition,1.845,1.855,0.010000000000000009,0,gloss,OSCURO_1,1.855,2.845
ABRIR-CORTINA_ORACION_1.eaf,gloss,VER_1,1.382,1.845,transition,1.845,1.855,0.010000000000000009,0,gloss,OSCURO_1,1.855,2.845,transition,2.845,2.865,0.020000000000000018,1,gloss,VER_1,2.865,3.112
