video_name,original_frames,final_frames,output_npy
ABRIR_ORACION_1,179,146,./full_videos_output/ABRIR_ORACION_1_full.npy
ABRIR_ORACION_2,210,143,./full_videos_output/ABRIR_ORACION_2_full.npy
ABRIR_ORACION_3,226,188,./full_videos_output/ABRIR_ORACION_3_full.npy
ABRIR_ORACION_4,226,199,./full_videos_output/ABRIR_ORACION_4_full.npy
ABRIR-CORTINA_ORACION_1,199,158,./full_videos_output/ABRIR-CORTINA_ORACION_1_full.npy
ABRIR-CORTINA_ORACION_2,167,88,./full_videos_output/ABRIR-CORTINA_ORACION_2_full.npy
ABURRIDO_ORACION_1,166,120,./full_videos_output/ABURRIDO_ORACION_1_full.npy
ABURRIDO_ORACION_2,174,144,./full_videos_output/ABURRIDO_ORACION_2_full.npy
ABURRIDO_ORACION_3,151,122,./full_videos_output/ABURRIDO_ORACION_3_full.npy
ABURRIDO_ORACION_4,174,139,./full_videos_output/ABURRIDO_ORACION_4_full.npy
ACERCARSE_ORACION_1,247,86,./full_videos_output/ACERCARSE_ORACION_1_full.npy
ACERCARSE_ORACION_2,199,119,./full_videos_output/ACERCARSE_ORACION_2_full.npy
AHI_ORACION_1,173,103,./full_videos_output/AHI_ORACION_1_full.npy
AHORA_ORACION_1,112,77,./full_videos_output/AHORA_ORACION_1_full.npy
AHORA_ORACION_2,126,55,./full_videos_output/AHORA_ORACION_2_full.npy
ALGUNOS_ORACION_1,182,105,./full_videos_output/ALGUNOS_ORACION_1_full.npy
ALGUNOS_ORACION_2,174,91,./full_videos_output/ALGUNOS_ORACION_2_full.npy
ALLA_ORACION_1,211,164,./full_videos_output/ALLA_ORACION_1_full.npy
ALTO_ORACION_1,185,153,./full_videos_output/ALTO_ORACION_1_full.npy
AMANECER_ORACION_1,178,144,./full_videos_output/AMANECER_ORACION_1_full.npy
AMANECER_ORACION_2,183,129,./full_videos_output/AMANECER_ORACION_2_full.npy
AMANECER_ORACION_3,154,111,./full_videos_output/AMANECER_ORACION_3_full.npy
AMBULANCIA_ORACION_1,160,102,./full_videos_output/AMBULANCIA_ORACION_1_full.npy
AMIGO_ORACION_1,212,172,./full_videos_output/AMIGO_ORACION_1_full.npy
ANILLO_ORACION_1,161,104,./full_videos_output/ANILLO_ORACION_1_full.npy
ANOCHECER_ORACION_1,156,117,./full_videos_output/ANOCHECER_ORACION_1_full.npy
ATARDECER_ORACION_1,177,144,./full_videos_output/ATARDECER_ORACION_1_full.npy
ATARDECER_ORACION_2,229,199,./full_videos_output/ATARDECER_ORACION_2_full.npy
ATARDECER_ORACION_3,179,147,./full_videos_output/ATARDECER_ORACION_3_full.npy
ATRAPAR_ORACION_1,107,48,./full_videos_output/ATRAPAR_ORACION_1_full.npy
ATRAPAR_ORACION_2,177,177,./full_videos_output/ATRAPAR_ORACION_2_full.npy
AVION_ORACION_1,126,88,./full_videos_output/AVION_ORACION_1_full.npy
AVIONETA_ORACION_1,145,103,./full_videos_output/AVIONETA_ORACION_1_full.npy
BAJAR-ESCALERA_ORACION_1,116,88,./full_videos_output/BAJAR-ESCALERA_ORACION_1_full.npy
BARCO_ORACION_1,182,121,./full_videos_output/BARCO_ORACION_1_full.npy
BASTANTE_ORACION_1,180,121,./full_videos_output/BASTANTE_ORACION_1_full.npy
BICICLETA_ORACION_1,139,75,./full_videos_output/BICICLETA_ORACION_1_full.npy
BIEN_ORACION_1,128,65,./full_videos_output/BIEN_ORACION_1_full.npy
BIEN_ORACION_2,121,87,./full_videos_output/BIEN_ORACION_2_full.npy
BIEN_ORACION_3,84,32,./full_videos_output/BIEN_ORACION_3_full.npy
BOLA-DE-CRISTAL_ORACION_1,129,122,./full_videos_output/BOLA-DE-CRISTAL_ORACION_1_full.npy
BOTE_ORACION_1,129,82,./full_videos_output/BOTE_ORACION_1_full.npy
