archivo,tipo,glosa,inicio,fin,duracion,frames
ABRIR_ORACION_1.eaf,glosa,YO_1,0.634,0.958,0.32399999999999995,10
ABRIR_ORACION_1.eaf,glosa,CAMINAR-PERSONA_1,0.958,1.844,0.8860000000000001,27
ABRIR_ORACION_1.eaf,glosa,ABRIR_1,1.844,2.76,0.9159999999999997,27
ABRIR_ORACION_1.eaf,glosa,REFRESCAR_1,2.76,4.628,1.8680000000000003,56
ABRIR_ORACION_2.eaf,glosa,YO_1,1.89,2.226,0.3360000000000001,10
ABRIR_ORACION_2.eaf,transicion,TRANSICION,2.226,2.319,0.09299999999999997,3
ABRIR_ORACION_2.eaf,glosa,ABRIR-VERTICAL_1,2.319,3.073,0.754,23
ABRIR_ORACION_2.eaf,transicion,TRANSICION,3.073,3.083,0.010000000000000231,0
ABRIR_ORACION_2.eaf,glosa,VER_1,3.083,3.419,0.33599999999999985,10
ABRIR_ORACION_2.eaf,transicion,TRANSICION,3.419,3.434,0.015000000000000124,0
ABRIR_ORACION_2.eaf,glosa,AL-FRENTE_1,3.434,3.873,0.43900000000000006,13
ABRIR_ORACION_2.eaf,transicion,TRANSICION,3.873,3.879,0.005999999999999783,0
ABRIR_ORACION_2.eaf,glosa,ASOMAR_1,3.879,6.151,2.272,68
ABRIR_ORACION_3.eaf,glosa,DORMIR_1,0.489,1.483,0.9940000000000001,30
ABRIR_ORACION_3.eaf,transicion,TRANSICION,1.483,1.499,0.016000000000000014,0
ABRIR_ORACION_3.eaf,glosa,CALOR_1,1.499,2.402,0.903,27
ABRIR_ORACION_3.eaf,glosa,CAMINAR-PERSONA_1,2.402,2.805,0.403,12
ABRIR_ORACION_3.eaf,transicion,TRANSICION,2.805,2.81,0.004999999999999893,0
ABRIR_ORACION_3.eaf,glosa,ABRIR_1,2.81,4.116,1.3059999999999996,39
ABRIR_ORACION_3.eaf,transicion,TRANSICION,4.116,4.122,0.006000000000000227,0
ABRIR_ORACION_3.eaf,glosa,BIEN_1,4.122,5.143,1.021,31
ABRIR_ORACION_3.eaf,transicion,TRANSICION,5.143,5.148,0.004999999999999893,0
ABRIR_ORACION_3.eaf,glosa,DORMIR_1,5.148,6.169,1.021,31
ABRIR_ORACION_4.eaf,glosa,YO_1,0.736,0.972,0.236,7
ABRIR_ORACION_4.eaf,transicion,TRANSICION,0.972,0.994,0.02200000000000002,1
ABRIR_ORACION_4.eaf,glosa,MEZCLAR_1,0.994,1.735,0.7410000000000001,22
ABRIR_ORACION_4.eaf,glosa,IX_1,1.735,1.95,0.21499999999999986,6
ABRIR_ORACION_4.eaf,glosa,DESENRROSCAR-TAPA_1,1.95,2.541,0.591,18
ABRIR_ORACION_4.eaf,glosa,LEVANTAR-TAPA_1,2.541,3.0,0.4590000000000001,14
ABRIR_ORACION_4.eaf,transicion,TRANSICION,3.0,3.04,0.040000000000000036,1
ABRIR_ORACION_4.eaf,glosa,ECHAR-CUCHARADA_1,3.04,4.201,1.1609999999999996,35
ABRIR_ORACION_4.eaf,glosa,ECHAR-CUCHARADA_1,4.201,4.66,0.4590000000000005,14
ABRIR_ORACION_4.eaf,transicion,TRANSICION,4.66,4.664,0.0039999999999995595,0
ABRIR_ORACION_4.eaf,glosa,ENRROSCAR-TAPA_1,4.664,5.229,0.5650000000000004,17
ABRIR_ORACION_4.eaf,glosa,MEZCLAR_1,5.229,6.142,0.9130000000000003,27
ABRIR-CORTINA_ORACION_1.eaf,glosa,YO_1,0.859,1.382,0.5229999999999999,16
ABRIR-CORTINA_ORACION_1.eaf,glosa,VER_1,1.382,1.845,0.4630000000000001,14
ABRIR-CORTINA_ORACION_1.eaf,transicion,TRANSICION,1.845,1.855,0.010000000000000009,0
ABRIR-CORTINA_ORACION_1.eaf,glosa,OSCURO_1,1.855,2.845,0.9900000000000002,30
ABRIR-CORTINA_ORACION_1.eaf,transicion,TRANSICION,2.845,2.865,0.020000000000000018,1
ABRIR-CORTINA_ORACION_1.eaf,glosa,VER_1,2.865,3.112,0.2469999999999999,7
ABRIR-CORTINA_ORACION_1.eaf,glosa,NO_1,3.112,3.499,0.387,12
ABRIR-CORTINA_ORACION_1.eaf,transicion,TRANSICION,3.499,3.509,0.009999999999999787,0
ABRIR-CORTINA_ORACION_1.eaf,glosa,PERSIANA_1,3.509,4.293,0.7840000000000003,24
ABRIR-CORTINA_ORACION_1.eaf,transicion,TRANSICION,4.293,4.303,0.009999999999999787,0
ABRIR-CORTINA_ORACION_1.eaf,glosa,ABRIR-CORTINA_1,4.303,5.063,0.7599999999999998,23
ABRIR-CORTINA_ORACION_2.eaf,glosa,YO_1,1.09,1.48,0.3899999999999999,12
ABRIR-CORTINA_ORACION_2.eaf,transicion,TRANSICION,1.48,1.51,0.030000000000000027,1
ABRIR-CORTINA_ORACION_2.eaf,glosa,JALAR-CORDON_1,1.51,2.03,0.5199999999999998,16
ABRIR-CORTINA_ORACION_2.eaf,transicion,TRANSICION,2.03,2.12,0.0900000000000003,3
ABRIR-CORTINA_ORACION_2.eaf,glosa,ABRIR-CORTINA_1,2.12,2.72,0.6000000000000001,18
ABRIR-CORTINA_ORACION_2.eaf,transicion,TRANSICION,2.72,2.76,0.03999999999999959,1
ABRIR-CORTINA_ORACION_2.eaf,glosa,LUZ_1 ,2.76,3.81,1.0500000000000003,32
ABURRIDO_ORACION_1.eaf,glosa,YO_2,0.608,0.991,0.383,11
ABURRIDO_ORACION_1.eaf,glosa,IR_1,0.991,1.535,0.5439999999999999,16
ABURRIDO_ORACION_1.eaf,glosa,TRABAJAR_1,1.535,2.162,0.627,19
ABURRIDO_ORACION_1.eaf,transicion,TRANSICION,2.162,2.167,0.004999999999999893,0
ABURRIDO_ORACION_1.eaf,glosa,ABURRIDO_1,2.167,4.067,1.9000000000000004,57
ABURRIDO_ORACION_2.eaf,glosa,YO_1,0.51,0.94,0.42999999999999994,13
ABURRIDO_ORACION_2.eaf,transicion,TRANSICION,0.94,0.95,0.010000000000000009,0
ABURRIDO_ORACION_2.eaf,glosa,CAMINAR-PERSONA_1,0.95,1.72,0.77,23
ABURRIDO_ORACION_2.eaf,transicion,TRANSICION,1.72,1.79,0.07000000000000006,2
ABURRIDO_ORACION_2.eaf,glosa,ABURRIDO_1,1.79,2.52,0.73,22
ABURRIDO_ORACION_2.eaf,transicion,TRANSICION,2.52,2.57,0.04999999999999982,1
ABURRIDO_ORACION_2.eaf,glosa,CALOR_2,2.57,3.15,0.5800000000000001,17
ABURRIDO_ORACION_2.eaf,transicion,TRANSICION,3.15,3.23,0.08000000000000007,2
ABURRIDO_ORACION_2.eaf,glosa,FUERTE_1,3.23,3.79,0.56,17
ABURRIDO_ORACION_2.eaf,transicion,TRANSICION,3.79,3.81,0.020000000000000018,1
ABURRIDO_ORACION_2.eaf,glosa,ABURRIDO_1,3.81,4.6,0.7899999999999996,24
ABURRIDO_ORACION_3.eaf,glosa,YO_1,0.721,1.01,0.28900000000000003,9
ABURRIDO_ORACION_3.eaf,glosa,IR_1,1.01,1.499,0.4890000000000001,15
ABURRIDO_ORACION_3.eaf,glosa,BAILAR_1,1.499,2.024,0.5249999999999999,16
ABURRIDO_ORACION_3.eaf,glosa,YO_1,2.024,2.288,0.2639999999999998,8
ABURRIDO_ORACION_3.eaf,glosa,ABURRIDO_2,2.288,3.839,1.5510000000000002,47
ABURRIDO_ORACION_4.eaf,glosa,VEN_1,0.713,1.272,0.559,17
ABURRIDO_ORACION_4.eaf,glosa,AYUDAR_1,1.272,2.38,1.1079999999999999,33
ABURRIDO_ORACION_4.eaf,transicion,TRANSICION,2.38,2.384,0.0040000000000000036,0
ABURRIDO_ORACION_4.eaf,glosa,YO_1,2.384,2.859,0.4750000000000001,14
ABURRIDO_ORACION_4.eaf,transicion,TRANSICION,2.859,2.863,0.0040000000000000036,0
ABURRIDO_ORACION_4.eaf,glosa,ABURRIDO_3,2.863,4.685,1.8219999999999996,55
ACERCARSE_ORACION_1.eaf,glosa,ACERCARSE_1,2.045,2.928,0.883,26
ACERCARSE_ORACION_1.eaf,glosa,HOY_1,2.928,3.453,0.5249999999999999,16
ACERCARSE_ORACION_1.eaf,transicion,TRANSICION,3.453,3.459,0.006000000000000227,0
ACERCARSE_ORACION_1.eaf,glosa,JUAN_1,3.459,4.655,1.1960000000000002,36
ACERCARSE_ORACION_2.eaf,glosa,YO_1,1.27,1.897,0.627,19
ACERCARSE_ORACION_2.eaf,glosa,QUERER_1,1.897,2.62,0.7230000000000001,22
ACERCARSE_ORACION_2.eaf,transicion,TRANSICION,2.62,2.66,0.040000000000000036,1
ACERCARSE_ORACION_2.eaf,glosa,ACERCARSE_1,2.66,3.62,0.96,29
ACERCARSE_ORACION_2.eaf,transicion,TRANSICION,3.62,3.64,0.020000000000000018,1
ACERCARSE_ORACION_2.eaf,glosa,JEFE_1,3.64,4.61,0.9700000000000002,29
ADIVINA_ORACION_1.eaf,glosa,SABER_1,1.518,2.248,0.7300000000000002,22
ADIVINA_ORACION_1.eaf,transicion,TRANSICION,2.248,2.254,0.005999999999999783,0
ADIVINA_ORACION_1.eaf,glosa,DINERO_1,2.254,2.598,0.34399999999999986,10
ADIVINA_ORACION_1.eaf,glosa,ROBAR_1,2.598,2.968,0.3700000000000001,11
ADIVINA_ORACION_1.eaf,transicion,TRANSICION,2.968,3.418,0.4500000000000002,14
ADIVINA_ORACION_1.eaf,glosa,CURIOSIDAD_1,3.418,4.042,0.6239999999999997,19
ADIVINA_ORACION_1.eaf,transicion,TRANSICION,4.042,4.058,0.016000000000000014,0
ADIVINA_ORACION_1.eaf,glosa,ADIVINA_1,4.058,5.709,1.6509999999999998,50
AHI_ORACION_1.eaf,glosa,AHI_1,1.352,1.898,0.5459999999999998,16
AHI_ORACION_1.eaf,glosa,DAME_1,1.898,2.195,0.29699999999999993,9
AHI_ORACION_1.eaf,transicion,TRANSICION,2.195,2.2,0.0050000000000003375,0
AHI_ORACION_1.eaf,glosa,PAN_1,2.2,2.577,0.3769999999999998,11
AHI_ORACION_1.eaf,glosa,AHI_1,2.577,4.047,1.4699999999999998,44
AHORA_ORACION_1.eaf,glosa,AHORA_1,0.694,1.222,0.528,16
AHORA_ORACION_1.eaf,transicion,TRANSICION,1.222,1.287,0.06499999999999995,2
AHORA_ORACION_1.eaf,glosa,YO_1,1.287,1.535,0.248,7
AHORA_ORACION_1.eaf,transicion,TRANSICION,1.535,1.542,0.007000000000000117,0
AHORA_ORACION_1.eaf,glosa,CAMBIAR-ROPA_1,1.542,2.884,1.3419999999999999,40
AHORA_ORACION_2.eaf,glosa,AHORA_1,0.933,1.61,0.677,20
AHORA_ORACION_2.eaf,transicion,TRANSICION,1.61,1.622,0.01200000000000001,0
AHORA_ORACION_2.eaf,glosa,ESTUDIAR_1,1.622,2.661,1.039,31
ALGUNOS_ORACION_1.eaf,glosa,PROBLEMA_1,1.349,1.992,0.643,19
ALGUNOS_ORACION_1.eaf,transicion,TRANSICION,1.992,2.001,0.008999999999999897,0
ALGUNOS_ORACION_1.eaf,glosa,NO-SABER_2,2.001,2.732,0.7310000000000003,22
ALGUNOS_ORACION_1.eaf,glosa,ALGUNOS_1,2.732,4.502,1.7699999999999996,53
ALGUNOS_ORACION_2.eaf,glosa,YO_1,1.255,1.43,0.17500000000000004,5
ALGUNOS_ORACION_2.eaf,glosa,VER_1,1.43,1.694,0.264,8
ALGUNOS_ORACION_2.eaf,glosa,LIBRO_1,1.694,2.129,0.43500000000000005,13
ALGUNOS_ORACION_2.eaf,transicion,TRANSICION,2.129,2.134,0.004999999999999893,0
ALGUNOS_ORACION_2.eaf,glosa,NO-SABER_2,2.134,2.695,0.5609999999999999,17
ALGUNOS_ORACION_2.eaf,glosa,ALGUNOS_2,2.695,3.588,0.8930000000000002,27
ALLA_ORACION_1.eaf,glosa,YO_1,0.722,0.925,0.20300000000000007,6
ALLA_ORACION_1.eaf,glosa,OYE_1,0.925,1.258,0.33299999999999996,10
ALLA_ORACION_1.eaf,transicion,TRANSICION,1.258,1.268,0.010000000000000009,0
ALLA_ORACION_1.eaf,glosa,BUSCAR_1,1.268,1.705,0.43700000000000006,13
ALLA_ORACION_1.eaf,glosa,YO_1,1.705,1.944,0.23899999999999988,7
ALLA_ORACION_1.eaf,glosa,HIJO_1,1.944,2.287,0.34299999999999997,10
ALLA_ORACION_1.eaf,glosa,DONDE_1,2.287,2.584,0.29700000000000015,9
ALLA_ORACION_1.eaf,transicion,TRANSICION,2.584,2.594,0.009999999999999787,0
ALLA_ORACION_1.eaf,glosa,ALLA_1,2.594,3.878,1.2840000000000003,39
ALLA_ORACION_1.eaf,transicion,TRANSICION,3.878,3.884,0.005999999999999783,0
ALLA_ORACION_1.eaf,glosa,AHI_1,3.884,4.991,1.1069999999999998,33
ALTO_ORACION_1.eaf,glosa,YO_1,0.784,1.301,0.5169999999999999,16
ALTO_ORACION_1.eaf,transicion,TRANSICION,1.301,1.33,0.029000000000000137,1
ALTO_ORACION_1.eaf,glosa,VER_1,1.33,1.656,0.32599999999999985,10
ALTO_ORACION_1.eaf,transicion,TRANSICION,1.656,1.661,0.0050000000000001155,0
ALTO_ORACION_1.eaf,glosa,UNO_1,1.661,1.934,0.2729999999999999,8
ALTO_ORACION_1.eaf,transicion,TRANSICION,1.934,1.944,0.010000000000000009,0
ALTO_ORACION_1.eaf,glosa,HOMBRE_1,1.944,2.431,0.4870000000000001,15
ALTO_ORACION_1.eaf,transicion,TRANSICION,2.431,2.436,0.004999999999999893,0
ALTO_ORACION_1.eaf,glosa,ALTO_1,2.436,3.971,1.5350000000000001,46
ALTO_ORACION_1.eaf,glosa,UY_1,3.971,5.077,1.1059999999999999,33
AMANECER_ORACION_1.eaf,glosa,ELLOS_1,0.759,1.255,0.4959999999999999,15
AMANECER_ORACION_1.eaf,glosa,SEÑAR_1,1.255,2.019,0.7640000000000002,23
AMANECER_ORACION_1.eaf,transicion,TRANSICION,2.019,2.024,0.004999999999999893,0
AMANECER_ORACION_1.eaf,glosa,VER_1,2.024,2.325,0.30100000000000016,9
AMANECER_ORACION_1.eaf,glosa,SEÑAR_1,2.325,2.96,0.6349999999999998,19
AMANECER_ORACION_1.eaf,glosa,AMANECER_1,2.96,4.65,1.6900000000000004,51
AMANECER_ORACION_2.eaf,glosa,PERSONA_1,1.245,1.836,0.591,18
AMANECER_ORACION_2.eaf,glosa,MUCHO_1,1.836,2.33,0.494,15
AMANECER_ORACION_2.eaf,glosa,INTERACTUAR_1,2.33,3.517,1.1869999999999998,36
